Address,Size,Function,stack,name
0x000000000000dcc0,72,core::iter::range::<impl core::iter::traits::iterator::Iterator for core::ops::range::Range<A>>::next::h8f5ff485d3aa27e5,,
0x000000000000dde0,72,<core::ops::range::Range<usize> as core::slice::SliceIndex<[T]>>::get_unchecked_mut::h33d484dcaa5083c3,,
0x000000000000f9b0,72,core::ops::function::FnOnce::call_once::h94060cb569971b95,,
0x000000000000ffd0,72,core::fmt::Write::write_char::heb2e51ee02335e35,,
0x0000000000012400,72,<core::slice::Iter<T> as core::iter::traits::iterator::Iterator>::next::h7cd3dd04269acd77,,
0x0000000000013c10,72,core::iter::range::<impl core::iter::traits::iterator::Iterator for core::ops::range::Range<A>>::next::hf071a47d70c9af71,,
0x0000000000013d10,72,<core::ops::range::Range<usize> as core::slice::SliceIndex<[T]>>::get_unchecked::h6d8a547476111326,,
0x0000000000013e50,72,core::num::<impl usize>::checked_add::h5e1ab8f6ad4b7d16,,
0x0000000000013ec0,72,core::num::<impl usize>::checked_mul::h6086608fd62137a6,,
0x00000000000165e0,72,<pc_keyboard::scancodes::ScancodeSet1 as pc_keyboard::ScancodeSet>::map_extended_scancode::ha2ee60cd6c90b356,,
0x0000000000019290,72,core::num::<impl u64>::checked_sub::hb23da46b248d67d0,,
0x0000000000019ca0,72,<core::slice::IterMut<T> as core::iter::traits::iterator::Iterator>::next::hd0911a81ac14a22c,,
0x000000000001b600,72,x86_64::registers::control::x86_64::<impl x86_64::registers::control::Cr3>::read::he1f8fb819b971b06,,
0x000000000001b790,72,x86_64::structures::gdt::GlobalDescriptorTable::add_entry::h802e0a44d8ee7089,,
0x000000000001b840,72,x86_64::structures::gdt::GlobalDescriptorTable::load::h8b6c466206cd17f6,,
0x000000000001b900,72,x86_64::structures::gdt::GlobalDescriptorTable::push::h99e71eaea1e4e7fa,,
0x000000000001c770,72,<x86_64::addr::VirtAddrNotValid as core::fmt::Debug>::fmt::hab7d68a0df11e529,,
0x000000000001e4b0,72,<linked_list_allocator::LockedHeap as core::alloc::GlobalAlloc>::dealloc::ha3680427a504348b,,
0x000000000001e7f0,72,linked_list_allocator::hole::HoleList::allocate_first_fit::{{closure}}::h05953b65b54bc427,,
0x000000000001f120,72,linked_list_allocator::hole::allocate_first_fit::{{closure}}::hc1dc77c4cb0cf98a,,
0x0000000000020400,72,core::option::Option<T>::map::h9ad9d5b9932c9e01,,
0x0000000000020940,72,core::num::<impl usize>::checked_mul::hedeff6602e5f74a9,,
0x0000000000005e10,64,core::option::Option<T>::ok_or::h1c53eb596d633d50,,
0x0000000000007fa0,64,core::fmt::ArgumentV1::new::h8405e55aa6d3921e,,
0x0000000000008000,64,core::fmt::ArgumentV1::new::he1d7428f8d72a5f7,,
0x000000000000b620,64,core::fmt::Arguments::new_v1_formatted::hca680abc5ea889c2,,
0x000000000000fb00,64,core::fmt::ArgumentV1::new::h09f48dccf414a90f,,
0x000000000000fb60,64,core::fmt::ArgumentV1::new::h0bfaed6a6be41cf8,,
0x000000000000fbc0,64,core::fmt::ArgumentV1::new::h2434df1300cc82f7,,
0x000000000000fc20,64,core::fmt::ArgumentV1::new::h2c3e34d5046e45cd,,
0x000000000000fc80,64,core::fmt::ArgumentV1::new::h71b94ff4fd1b9709,,
0x000000000000fce0,64,core::fmt::ArgumentV1::new::ha5c758ca58542a9c,,
0x000000000000fd40,64,core::fmt::ArgumentV1::new::hafbf7be010a10d95,,
0x0000000000012710,64,core::fmt::ArgumentV1::new::h13677a926f3dfb41,,
0x0000000000012770,64,core::fmt::ArgumentV1::new::h19b966accba8881e,,
0x0000000000014080,64,core::fmt::ArgumentV1::new::h448477e7d0b3198d,,
0x0000000000015bc0,64,<pc_keyboard::scancodes::ScancodeSet1 as pc_keyboard::ScancodeSet>::advance_state::h9675a5f01a2a6b16,,
0x0000000000019900,64,core::fmt::ArgumentV1::new::h3873679b96dc88aa,,
0x0000000000019960,64,core::fmt::ArgumentV1::new::h4359c99cb5d0fe95,,
0x00000000000199c0,64,core::fmt::ArgumentV1::new::hd1e15876bbe62d4c,,
0x0000000000019a20,64,core::fmt::ArgumentV1::new::hee8b616115129888,,
0x0000000000019a80,64,core::fmt::Arguments::new_v1_formatted::heaee608293812113,,
0x000000000001c9a0,64,core::fmt::ArgumentV1::new::ha08e95e3c343331d,,
0x0000000000004470,56,alloc::rc::RcBoxPtr::inc_strong::ha01d25048a5a1f06,,
0x0000000000004ac0,56,<i32 as core::iter::range::Step>::add_usize::h54944c9747783452,,
0x0000000000004b60,56,core::slice::from_raw_parts::hb6d990a9cf0275d6,,
0x0000000000004c20,56,core::slice::from_raw_parts_mut::hc6374325473decc6,,
0x0000000000004e80,56,core::alloc::Layout::from_size_align_unchecked::hf2abf9ec4a734d9d,,
0x0000000000005260,56,alloc::raw_vec::RawVec<T>::from_raw_parts::h383c5003620b2241,,
0x0000000000005ee0,56,core::option::Option<T>::ok_or::h2c01f5d60502407a,,
0x0000000000005f80,56,core::option::Option<T>::ok_or::haab21f50f7f8b354,,
0x00000000000063b0,56,alloc::vec::Vec<T>::from_raw_parts::hc878fb7d9f06fc08,,
0x00000000000065d0,56,<alloc::vec::Vec<T> as core::ops::drop::Drop>::drop::he5e84674af90f061,,
0x00000000000066b0,56,<alloc::vec::Vec<T> as core::ops::index::IndexMut<I>>::index_mut::ha22fd1073413f00c,,
0x0000000000006f20,56,<core::ptr::non_null::NonNull<T> as core::convert::From<core::ptr::unique::Unique<T>>>::from::hd7cab09211809c5a,,
0x0000000000007210,56,<x86_64::addr::VirtAddr as core::cmp::PartialOrd>::partial_cmp::hce519e84d38c91aa,,
0x0000000000007430,56,alloc::boxed::Box<T>::into_raw_non_null::h0a3dbf97b8ddb270,,
0x0000000000007480,56,alloc::boxed::Box<T>::into_raw::h8604a498065f1405,,
0x0000000000007510,56,core::ptr::swap_nonoverlapping::h37b38512cc19939c,,
0x00000000000079c0,56,core::num::<impl usize>::saturating_mul::hab9880237e69310c,,
0x0000000000007c20,56,<x86_64::structures::paging::page::Page<S> as core::ops::arith::AddAssign<u64>>::add_assign::hc59681bc1e0a0ca2,,
0x0000000000007c80,56,<x86_64::structures::paging::page::PageRangeInclusive<S> as core::iter::traits::iterator::Iterator>::next::h2039b13b8d4698bf,,
0x0000000000009da0,56,core::alloc::Layout::array::{{closure}}::h8012cecb9882dc4f,,
0x0000000000009ef0,56,core::num::ptr_try_from_impls::<impl core::convert::TryFrom<usize> for u32>::try_from::hd86b92a347a8ec7b,,
0x0000000000009fa0,56,<alloc::alloc::Global as core::alloc::Alloc>::alloc::h6dd458db9bda44e5,,
0x000000000000a0b0,56,alloc::alloc::exchange_malloc::ha91cd757def6afe9,,
0x000000000000a190,56,alloc::alloc::dealloc::h1d669370b95c21f6,,
0x000000000000a5a0,56,core::iter::traits::iterator::Iterator::try_for_each::h036f23059fc26d2f,,
0x000000000000a5f0,56,core::iter::traits::iterator::Iterator::find::h01a20d847ae69649,,
0x000000000000a690,56,core::slice::from_raw_parts_mut::h7a8e1f6e35cb93c0,,
0x000000000000b230,56,core::ptr::swap_nonoverlapping::he91126c296704160,,
0x000000000000b550,56,__rg_dealloc,,
0x000000000000c060,56,<core::iter::adapters::Map<I,F> as core::iter::traits::iterator::Iterator>::next::h6a56bf78492d0e59,
0x000000000000c820,56,core::num::<impl usize>::saturating_mul::hd10a1c2ee42e0650,,
0x000000000000db40,56,<core::ops::range::RangeTo<usize> as core::slice::SliceIndex<[T]>>::get_unchecked_mut::h04c83e2c37817da9,,
0x000000000000de80,56,<u64 as core::iter::range::Step>::add_usize::h9f43896cb8d8d6db,,
0x000000000000e2a0,56,core::sync::atomic::AtomicUsize::compare_exchange::hd9e35fab95afa8bb,,
0x000000000000e980,56,core::iter::traits::iterator::Iterator::find::check::{{closure}}::hd03e8736f5df8fd0,,
0x000000000000fa10,56,core::ops::function::FnOnce::call_once::hb2ad155cf7b554f4,,
0x0000000000010d70,56,blog_os::memory::BootInfoFrameAllocator::usable_frames::{{closure}}::h05e42b9e72ce26f8,,
0x00000000000122f0,56,core::alloc::Layout::from_size_align_unchecked::hc77b37e04fd800ff,,
0x0000000000012570,56,core::option::Option<T>::map::hbea5b4f4f0784489,,
0x0000000000012c10,56,core::slice::<impl core::ops::index::Index<I> for [T]>::index::h1b3e86da79654e17,,
0x0000000000012c80,56,<bootloader::bootinfo::memory_map::MemoryMap as core::ops::deref::Deref>::deref::hfae6f5a2768a92bf,,
0x0000000000013010,56,<usize as core::iter::range::Step>::add_usize::hc3ca1d89f1f87d13,,
0x0000000000013180,56,core::slice::from_raw_parts::h386a22e6a7604714,,
0x0000000000013240,56,core::ptr::swap_nonoverlapping::h7e8cf2e53a83f5ab,,
0x0000000000013f30,56,core::num::<impl usize>::saturating_mul::h746c362d34230f2f,,
0x0000000000017c00,56,pic8259_simple::ChainedPics::handles_interrupt::h755f8cadd03852a1,,
0x0000000000017d20,56,core::iter::traits::iterator::Iterator::try_for_each::hbe981527f3e4199b,,
0x0000000000017d70,56,core::iter::traits::iterator::Iterator::any::h43ae078cd11494ab,,
0x0000000000018a10,56,core::iter::traits::iterator::Iterator::any::check::{{closure}}::h8edd1159f35e36e1,,
0x0000000000018ed0,56,x86_64::structures::paging::page_table::PageTableEntry::set_addr::heaf427970a711af8,,
0x0000000000018f50,56,x86_64::structures::paging::page_table::PageTableEntry::set_frame::haf809ab5c1bc351c,,
0x0000000000019420,56,core::num::<impl core::convert::TryFrom<u64> for u16>::try_from::hc2d35a94ea5c6b9f,,
0x0000000000019480,56,x86_64::structures::paging::mapper::offset_page_table::OffsetPageTable::new::he45efeabd49330de,,
0x00000000000194e0,56,<x86_64::structures::paging::mapper::offset_page_table::PhysOffset as x86_64::structures::paging::mapper::mapped_page_table::PhysToVirt>::phys_to_virt::hb6afa60b0c068e65,,
0x000000000001a1c0,56,x86_64::structures::paging::mapper::mapped_page_table::MappedPageTable<P>::new::h61396c8b2bec7831,,
0x000000000001a350,56,x86_64::structures::idt::InterruptDescriptorTable::load::h44dcd83cd5805e66,,
0x000000000001aa70,56,x86_64::structures::idt::EntryOptions::set_stack_index::he1932a1aca8b7487,,
0x000000000001b9f0,56,x86_64::structures::gdt::Descriptor::kernel_code_segment::hd692616b10ed6c0c,,
0x000000000001be40,56,x86_64::addr::VirtAddr::new_unchecked::hc6826dcfc374a0f7,,
